Date,current_pure_regime,regime_plus_trend,buy_and_hold
2019-01-17,125392.88209830887,128259.68962774755,121433.54974385056
2019-01-18,125916.44706308866,128795.22464982298,121940.5829273201
2019-01-22,124950.02908015692,127806.71183739461,121004.67999375737
2019-01-23,124784.21092028685,127637.10264296757,120844.09761118457
2019-01-24,125118.84372588286,127979.3860251404,121168.16424690005
2019-01-25,125986.78875924117,128867.17454016316,122008.7035551888
2019-01-28,125377.7722151238,128244.23429332032,121418.91696150541
2019-01-29,125470.11772006951,128338.69105677176,121508.34661876183
2019-01-30,126901.36569945408,129802.66108875717,122894.40234849711
2019-01-31,128081.2628178668,131009.53372512932,124037.04372513494
2019-02-01,128702.24371135228,131644.71185749545,124638.41688888382
2019-02-04,128588.04861467784,131527.90596380056,124542.2522462338
2019-02-05,129489.2365098745,132449.6973589739,125301.23799060856
2019-02-06,129044.61129507823,131994.90685495047,124927.11194868769
2019-02-07,128401.30481321293,131336.8927131679,124385.56400228538
2019-02-08,128781.49272086142,131725.77270555048,124705.82275049196
2019-02-11,128556.1778776469,131495.30657880046,124516.0974541455
2019-02-12,129876.90300743254,132846.226921289,125628.46202966472
2019-02-13,130100.25058637938,133074.6808069918,125816.32428325227
2019-02-14,130416.22050783229,133397.87462293328,126082.03358733722
2019-02-15,131659.51259303177,134669.5915999727,127127.22762461525
2019-02-19,132512.37301938274,135541.9506346251,127843.31572329516
2019-02-20,132545.16795169655,135575.49534441682,127870.82825101248
2019-02-21,131432.26292674823,134437.14641506432,126937.21320652527
2019-02-22,132364.7595565279,135390.9623439517,127720.34779300427
2019-02-25,132426.4731127409,135454.0868326248,127772.12879501641
2019-02-26,132700.14100360568,135734.01148349835,128001.73695730104
2019-02-27,132419.9071475007,135447.37075233602,127766.68317648958
2019-02-28,131849.6294052369,134864.05497714694,127288.21514847977
2019-03-01,131824.38799420313,134838.23648178435,127267.02543560424
2019-03-04,131994.62004221,135012.36047731494,127409.93576279945
2019-03-05,132033.98791235712,135052.62839940016,127442.97965112285
2019-03-06,131416.69046434632,134421.2179256558,126924.86387391033
2019-03-07,131298.48288552617,134300.30781403376,126825.5880129722
2019-03-08,131216.7475893223,134216.70383630143,126756.93509877007
2019-03-11,132336.27943127972,135361.83108894134,127697.35339696491
2019-03-12,133099.7107523139,136142.7164362546,128337.93595459023
2019-03-13,133959.7615316839,137022.43021410375,129059.05039426139
2019-03-14,133206.41884586378,136251.86415445397,128427.93491053744
2019-03-15,133874.10045654516,136934.8107039161,128987.70014381716
2019-03-18,134415.97689680767,137489.07584944618,129441.69837670078
2019-03-19,134464.3402121006,137538.5448759574,129482.19711874133
2019-03-20,135189.89433398188,138280.68705279697,130089.73716264771
2019-03-21,136148.10695228688,139260.8069046147,130891.53125657658
2019-03-22,134910.11904187093,137994.51536959465,129856.58331643269
2019-03-25,134899.2490671563,137983.39687897678,129847.48522829235
2019-03-26,135501.61467864265,138599.5341355644,130351.66607230791
2019-03-27,135023.19219531203,138110.17366951486,129951.45798855987
2019-03-28,135035.6850585718,138122.9521521324,129961.91329897028
2019-03-29,135487.71843802597,138585.32019073222,130340.21666853083
2019-04-01,136061.36382113284,139172.08059979588,130820.08729981647
2019-04-02,136235.04191899011,139349.72943084236,130965.29405759153
2019-04-03,135961.7213036809,139070.1599951471,130736.81734461103
2019-04-04,136645.40589109997,139769.47539103136,131308.4791851943
2019-04-05,137135.34708654784,140270.6179169263,131717.87542883167
2019-04-08,137459.8216565168,140602.51081977616,131988.88094586594
2019-04-09,137043.7174862387,140176.89342555404,131641.45215995618
2019-04-10,137351.39744015384,140491.6077437312,131898.45320837342
2019-04-11,136829.11179375675,139957.38128858522,131462.32229556207
2019-04-12,136526.73391733933,139648.09026719225,131209.69808790108
2019-04-15,136426.52389141574,139545.58917935163,131125.95257062625
2019-04-16,136291.39257227757,139407.36840667605,131013.01250947166
2019-04-17,136365.64384103552,139483.31725262324,131075.0782644438
2019-04-18,136539.64832296546,139661.29992973147,131220.5162172691
2019-04-22,137189.90665587116,140326.4248599564,131763.93049873933
2019-04-23,138057.92033037439,141214.28358543923,132488.8722412203
2019-04-24,137621.89286500236,140768.28739776133,132125.01243629775
2019-04-25,137889.1189556669,141041.62297212193,132348.10162917903
2019-04-26,137715.83097825138,140864.3731806855,132203.4716538973
2019-04-29,137279.25819972318,140417.8192125739,131839.03856230676
2019-04-30,137431.50998796994,140573.55187282563,131966.18484439963
2019-05-01,136379.11965176516,139497.10115544725,131087.45504529926
2019-05-02,135355.77947389355,138450.36475860368,130232.12163862394
2019-05-03,136500.64491136733,139621.4047986659,131189.97254790884
2019-05-06,136169.1288305743,139282.30939773412,130912.91327058476
2019-05-07,135208.75956622453,138299.9835933319,130110.04510029321
2019-05-08,134924.34408442673,138009.06563363376,129872.05363028689
2019-05-09,134836.62753931838,137919.34366008508,129798.63452801063
2019-05-10,135316.93564432376,138410.63285802683,130200.68846298146
2019-05-13,133661.53800615622,136938.2464796301,128815.6379347651
2019-05-14,134173.23558735746,137394.1089418828,129244.46052739506
2019-05-15,135189.2239999707,138298.7850757546,130095.47502703223
2019-05-16,135457.14702176742,138572.87074110555,130319.67332357391
2019-05-17,134601.9455142076,137812.11207686467,129604.22433221126
2019-05-20,133803.41217771368,137101.17483895045,128935.62947592342
2019-05-21,134422.69840553368,137652.95689003594,129454.54819542963
2019-05-22,134056.5686141442,137326.93244567787,129147.94128992918
2019-05-23,133068.7092997364,136446.9684986085,128320.38670795874
2019-05-24,133310.3996489841,136662.46956107375,128523.05284247092
2019-05-28,132393.9975526933,135845.56096201338,127754.79812424642
2019-05-29,131852.1351543091,135362.09229810178,127300.12414653214
2019-05-30,132448.9879746966,135894.91080572395,127801.20876347569
2019-05-31,131833.70179503816,135345.9594416965,127284.9521394483
2019-06-03,132156.48319156666,135677.34024348116,127596.5963855646
2019-06-04,133804.20076181187,137368.95560736203,129187.46161359297
2019-06-05,133948.0029068407,137497.33235594555,129308.1924308754
2019-06-06,135153.93835224627,138573.75853001178,130320.50823707196
2019-06-07,136621.0337785995,140077.97608985897,131550.62003098248
2019-06-10,136661.6511529193,140119.62121163445,131584.62867663737
2019-06-11,136649.21630208113,140106.87171991845,131574.21746594555
2019-06-12,136259.13835719894,139706.92357485511,131247.61669470582
2019-06-13,137148.68611001896,140618.97968659733,131992.68692984342
